Movie_Title,Movie_ID,Budget,Cast,Crew,Studios,Genre,Keywords,Languages,Countries,Release_Data,Runtime,Gross_worldwide,Rating,Rating_Count,ListOfCertificate,Release_Year,Release_Month,Release_Day,GenreRank,SpecialMonth,CastsRank,NumLeadActors,HasTop50Actors,NumStudios,StudioRank,NumTopStudios,HasTopStudio,CountryRank,LanguageRank,keywordRank,cerRank
"Good Morning, Vietnam",93105,13000000,"['Robin Williams', 'Forest Whitaker', 'Tom. T. Tran', 'Chintara Sukapatana', 'Bruno Kirby', 'Robert Wuhl', 'J.T. Walsh', 'Noble Willingham', 'Richard Edson', 'Juney Smith', 'Richard Portnow', 'Floyd Vivino', 'Cu Ba Nguyen', 'Dan Stanton', 'Don Stanton', 'Danny Aiello III', 'James McIntire', 'Peter Mackenzie']","['Mitch Markowitz', 'Barry Levinson']","['Touchstone Pictures', 'Silver Screen Partners III']","['Biography', 'Comedy', 'Drama', 'War']","['disc jockey', 'vietnam war', 'radio dj', 'vietnam', 'censorship']",['English'],['United States'],1988-01-15,121,123922370,7.3,135000,['R'],1988,1,15,6.25,0,11478,0,0,2,470,0,0,4,1,0,1
Rango,1192628,135000000,"['Johnny Depp', 'Isla Fisher', 'Timothy Olyphant', 'Abigail Breslin', 'Ned Beatty', 'Alfred Molina', 'Bill Nighy', 'Stephen Root', 'Harry Dean Stanton', 'Ray Winstone', 'Ian Abercrombie', 'Gil Birmingham', 'James Ward Byrkit', 'Claudia Black', 'Blake Clark', 'John Cothran', 'Patrika Darbo', 'George DelHoyo']","['James Ward Byrkit', 'Gore Verbinski', 'John Logan']","['Paramount Pictures', 'Nickelodeon Movies', 'Blind Wink Productions']","['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Western']","['anthropomorphism', 'water', 'sheriff', 'chameleon', 'lizard']",['English'],"['United States', 'Canada']",2011-03-04,107,245724603,7.2,252000,['PG'],2011,3,4,14.0,0,28695,0,0,3,638,1,0,5,1,0,2
City Slickers,101587,27000000,"['Billy Crystal', 'Jack Palance', 'Daniel Stern', 'Bruno Kirby', 'Patricia Wettig', 'Helen Slater', 'Noble Willingham', 'Tracey Walter', 'Josh Mostel', 'David Paymer', 'Bill Henderson', 'Jeffrey Tambor', 'Phill Lewis', 'Kyle Secor', 'Dean Hallo', 'Karla Tamburrelli', 'Yeardley Smith', 'Robert Costanzo']","['Ron Underwood', 'Lowell Ganz', 'Babaloo Mandel']","['Castle Rock Entertainment', 'Nelson Entertainment', 'Face Productions']","['Comedy', 'Western']","['fish out of water', 'herman the calf character', 'saddle sore', 'man horse relationship', 'woman horse relationship']",['English'],['United States'],1991-06-07,113,179033791,6.8,54000,['PG-13'],1991,6,7,5.5,1,15323,0,0,3,343,0,0,4,1,0,4
Wayne&apos;s World,105793,20000000,"['Mike Myers', 'Dana Carvey', 'Rob Lowe', 'Tia Carrere', 'Brian Doyle-Murray', 'Lara Flynn Boyle', 'Michael DeLuise', 'Dan Bell', 'Lee Tergesen', 'Kurt Fuller', 'Sean Sullivan', 'Colleen Camp', 'Donna Dixon', 'Frederick Coffin', 'Mike Hagerty', 'Chris Farley', 'Meat Loaf', 'Charles Noland']","['Mike Myers', 'Terry Turner', 'Bonnie Turner', 'Penelope Spheeris']",['Paramount Pictures'],"['Comedy', 'Music']","['public access', 'breaking the fourth wall', 'basement', 'headbanging', 'product placement']","['English', 'Cantonese']",['United States'],1992-02-14,94,183097323,7.0,151000,['PG-13'],1992,2,14,7.5,0,17993,0,0,1,308,1,0,4,1,0,4
Peter Rabbit,5117670,50000000,"['James Corden', 'Fayssal Bazzi', 'Domhnall Gleeson', 'Sia', 'Colin Moody', 'Sam Neill', 'Margot Robbie', 'Elizabeth Debicki', 'Daisy Ridley', 'Rose Byrne', 'Christian Gazal', 'Ewen Leslie', 'Natalie Dew', 'Terenia Edwards', 'Marianne Jean-Baptiste', 'Gareth Davies', 'Jermaine Liburd', 'Tom Greaves']","['Rob Lieber', 'Will Gluck', 'Beatrix Potter']","['Columbia Pictures', '2.0 Entertainment', 'Animal Logic']","['Animation', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Family', 'Fantasy']","['rabbit', 'deer', 'mouse', 'fox', 'pig']",['English'],"['United States', 'Australia', 'United Kingdom']",2018-02-16,95,351496066,6.6,40000,['PG'],2018,2,16,13.285714285714286,0,21172,2,1,3,753,2,1,8,1,0,2
Traffic,181865,48000000,"['Michael Douglas', 'Benicio Del Toro', 'Catherine Zeta-Jones', 'Jacob Vargas', 'Andrew Chavez', 'Michael Saucedo', 'Tomas Milian', 'Jose Yenque', 'Emilio Rivera', ""Michael O'Neill"", 'Russell G. Jones', 'Lorene Hetherington', 'Eric Collins', 'Beau Holden', 'Peter Stader', 'James Lew', 'Jeremy Fitzgerald', 'Russell Solberg']","['Steven Soderbergh', 'Stephen Gaghan', 'Simon Moore']","['Compulsion Inc.', 'Initial Entertainment Group (IEG)', 'Splendid Medien AG']","['Crime', 'Drama', 'Thriller']","['mexico', 'drug cartel hid the records in the back of a painting', 'judge', 'cocaine', 'interlinked stories']","['English', 'Spanish']","['United States', 'Mexico', 'Germany']",2001-01-05,147,207515725,7.6,203000,['R'],2001,1,5,7.0,0,11861,0,0,3,434,0,0,6,4,0,1
Mamma Mia! Here We Go Again,6911608,75000000,"['Lily James', 'Amanda Seyfried', 'Meryl Streep', 'Cher', 'Andy Garcia', 'Celia Imrie', 'Alexa Davies', 'Jessica Keenan Wynn', 'Dominic Cooper', 'Julie Walters', 'Christine Baranski', 'Hugh Skinner', 'Pierce Brosnan', 'Omid Djalili', 'Josh Dylan', 'Gerard Monaco', 'Anna Antoniades', 'Jeremy Irvine']","['Ol Parker', 'Richard Curtis', 'Catherine Johnson']","['Universal Pictures', 'Legendary Entertainment', 'Perfect World Pictures']","['Comedy', 'Musical', 'Romance']","['sequel', 'dancing', 'singing', 'holiday', 'party']","['English', 'French', 'Greek']","['United Kingdom', 'United States', 'Japan']",2018-07-20,114,402254384,6.6,89000,['PG-13'],2018,7,20,10.333333333333334,1,24181,0,0,3,1008,3,1,9,3,163,4
Unbroken,1809398,65000000,"[""Jack O'Connell"", 'Miyavi', 'Domhnall Gleeson', 'Garrett Hedlund', 'Finn Wittrock', 'Jai Courtney', 'Maddalena Ischiale', 'Vincenzo Amato', 'John Magaro', 'Luke Treadaway', 'Louis McIntosh', 'Ross Anderson', 'C.J. Valleroy', ""John D'Leo"", 'Alex Russell', 'Jordan Patrick Smith', 'Spencer Rocco Lofranco', 'Stephen J. Douglas']","['Richard LaGravenese', 'Angelina Jolie', 'Joel Coen', 'Ethan Coen']","['3 Arts Entertainment', 'Jolie Pas', 'Legendary Entertainment']","['Action', 'Biography', 'Drama', 'Sport', 'War']","['prisoner of war', 'prison camp', 'torture', 'survival', 'olympian']","['English', 'Japanese', 'Italian']",['United States'],2015-02-20,137,161459297,7.2,160000,['PG-13'],2015,2,20,7.8,0,10464,1,1,3,597,1,1,4,9,125,4
Something&apos;s Gotta Give,337741,80000000,"['Jack Nicholson', 'Diane Keaton', 'Keanu Reeves', 'Amanda Peet', 'Frances McDormand', 'Jon Favreau', 'Paul Michael Glaser', 'Rachel Ticotin', 'Paige Butcher', 'Tanya Sweet', 'Kristine Szabo', 'Daniella Van Graas', 'Tamara Spoelder', 'Sonja Francis', 'Vanessa Trump', 'Kathy Tong', 'Marjie Gum', 'Jennifer Siebel Newsom']",['Nancy Meyers'],"['Columbia Pictures', 'Warner Bros.', 'Waverly Films']","['Comedy', 'Drama', 'Romance']","['matronizing', 'caribbean island', 'columbia tristar', 'sony', 'cigarette']","['English', 'French']",['United States'],2003-12-12,128,265328738,6.7,118000,['PG-13'],2003,12,12,6.666666666666667,1,13825,0,0,3,740,2,0,4,3,0,4
Remember the Titans,210945,30000000,"['Denzel Washington', 'Will Patton', 'Wood Harris', 'Ryan Hurst', 'Donald Faison', 'Craig Kirkwood', 'Ethan Suplee', 'Kip Pardue', 'Hayden Panettiere', 'Nicole Ari Parker', 'Kate Bosworth', 'Earl Poitier', 'Ryan Gosling', 'Burgess Jenkins', 'Neal Ghant', 'David Jefferson', 'Preston Wigasi Brant', 'John Michael Weatherly']","['Gregory Allen Howard', 'Boaz Yakin']","['Jerry Bruckheimer Films', 'Run It Up Productions Inc.', 'Technical Black']","['Biography', 'Drama', 'Sport']","['school', '1970s', 'racial tension', 'american football', 'gay kiss']",['English'],['United States'],2000-09-29,113,136771683,7.8,207000,['PG'],2000,9,29,5.0,0,12961,0,0,3,546,1,1,4,1,93,2
District 9,1136608,30000000,"['Sharlto Copley', 'David James', 'Jason Cope', 'Nathalie Boltt', 'Sylvaine Strike', 'Elizabeth Mkandawie', 'John Sumner', 'William Allen Young', 'Greg Melvill-Smith', 'Nick Blake', 'Morena Busa Sesatsa', 'Themba Nkosi', 'Mzwandile Nqoba', 'Barry Strydom', 'Jed Brophy', 'Louis Minnaar', 'Vanessa Haywood', 'Marian Hooman']","['Terri Tatchell', 'Neill Blomkamp']","['TriStar Pictures', 'Block / Hanson', 'WingNut Films']","['Action', 'Sci-Fi', 'Thriller']","['alien', 'social commentary', 'mockumentary', 'based on short film', 'removing fingernail']","['English', 'Nyanja', 'Afrikaans', 'Zulu', 'Xhosa', 'Sotho']","['South Africa', 'United States', 'New Zealand', 'Canada']",2009-08-13,112,210888950,7.9,661000,['R'],2009,8,13,14.333333333333334,0,5626,1,1,3,661,1,1,5,1,153,1
You&apos;ve Got Mail,128853,65000000,"['Tom Hanks', 'Meg Ryan', 'Greg Kinnear', 'Parker Posey', 'Jean Stapleton', 'Steve Zahn', 'Heather Burns', 'Dave Chappelle', 'Dabney Coleman', 'John Randolph', 'Hallee Hirsh', 'Jeffrey Scaperrotta', 'Cara Seymour', 'Katie Finneran', 'Michael Badalucco', 'Deborah Rush', 'Veanne Cox', 'Bruce Jay Friedman']","['Nora Ephron', 'Miklós László', 'Delia Ephron']",['Warner Bros.'],"['Comedy', 'Drama', 'Romance']","['dog', 'bookstore', 'internet', 'new york city', 'shop owner']",['English'],['United States'],1998-12-18,119,250821495,6.7,206000,['PG'],1998,12,18,6.666666666666667,1,16622,0,0,1,323,1,0,4,1,127,2
Clear and Present Danger,109444,62000000,"['Harrison Ford', 'Willem Dafoe', 'Anne Archer', 'Joaquim de Almeida', 'Henry Czerny', 'Harris Yulin', 'Donald Moffat', 'Miguel Sandoval', 'Benjamin Bratt', 'Raymond Cruz', 'Dean Jones', 'Thora Birch', 'Ann Magnuson', 'Hope Lange', 'Tom Tammi', 'Tim Grimm', 'Belita Moreno', 'James Earl Jones']","['Phillip Noyce', 'Tom Clancy', 'Donald E. Stewart', 'Steven Zaillian']","['Mace Neufeld Productions', 'Paramount Pictures']","['Action', 'Crime', 'Drama', 'Thriller']","['colombian drug cartel', 'drug cartel', 'corrupt politician', 'jack ryan character', 'good versus evil']","['English', 'Spanish']","['United States', 'Mexico']",1994-08-03,141,215887717,6.9,96000,['PG-13'],1994,8,3,9.25,0,24965,0,0,2,628,2,0,6,4,145,4
Creed II,6343314,50000000,"['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson', 'Phylicia Rashad', 'Dolph Lundgren', 'Florian Munteanu', 'Russell Hornsby', 'Wood Harris', 'Milo Ventimiglia', 'Robbie Johns', 'Andre Ward', 'Brigitte Nielsen', 'Patrice Harris', ""Jacob 'Stitch' Duran"", 'Ana Gerena', 'Benny Vay', 'Angelina Shipilina', 'Pavel Vakunov']","['Steven Caple Jr.', 'Sylvester Stallone', 'Juel Taylor', 'Sascha Penn']","['Metro-Goldwyn-Mayer (MGM)', 'Warner Bros.', 'New Line Cinema']","['Drama', 'Sport']","['baby', 'training montage', 'sequel', 'boxing match', 'boxer']","['English', 'Russian', 'Sign Languages']",['United States'],2018-11-21,130,214215889,7.1,117000,['PG-13'],2018,11,21,5.5,1,14020,1,1,3,850,1,0,4,7,163,4
The Towering Inferno,72308,14000000,"['Paul Newman', 'Steve McQueen', 'William Holden', 'Faye Dunaway', 'Fred Astaire', 'Susan Blakely', 'Richard Chamberlain', 'Jennifer Jones', 'O.J. Simpson', 'Robert Vaughn', 'Robert Wagner', 'Susan Flannery', 'Sheila Allen', 'Norman Burton', 'Jack Collins', 'Don Gordon', 'Felton Perry', 'Gregory Sierra']","['Thomas N. Scortia', 'John Guillermin', 'Richard Martin Stern', 'Frank M. Robinson']","['Twentieth Century Fox', 'Warner Bros.', 'Irwin Allen Productions']","['Action', 'Drama', 'Thriller']","['disaster film', 'one day time span', 'rescue attempt', 'race against time', 'firefighter']",['English'],['United States'],2005-07-04,165,116000000,7.0,42000,['PG'],2005,7,4,10.333333333333334,1,3756,0,0,3,744,2,0,4,1,0,2
Ghost Rider,259324,110000000,"['Nicolas Cage', 'Eva Mendes', 'Sam Elliott', 'Matt Long', 'Raquel Alessi', 'Brett Cullen', 'Peter Fonda', 'Donal Logue', 'Tony Ghosthawk', 'Hugh Sexton', 'Marcus Jones', 'Matt Norman', 'Lawrence Cameron Steele', 'Wes Bentley', 'Eddie Baroo', 'Jessica Napier', 'Laurence Breuls', 'Daniel Frederiksen']",['Mark Steven Johnson'],"['Columbia Pictures', 'Crystal Sky Pictures', 'Relativity Media']","['Action', 'Fantasy', 'Thriller']","['lucifer morningstar character', 'comicbook movie', 'motor vehicle', 'weapon', 'character name as title']",['English'],"['United States', 'Australia']",2007-03-30,110,228738393,5.3,232000,['PG-13'],2007,3,30,15.0,0,13166,0,0,3,599,1,0,8,1,35,4
Notting Hill,125439,42000000,"['Hugh Grant', 'Julia Roberts', 'Richard McCabe', 'Rhys Ifans', 'James Dreyfus', 'Dylan Moran', 'Roger Frost', 'Henry Goodman', 'Julian Rhind-Tutt', 'Lorelei King', 'John Shrapnel', 'Clarke Peters', 'Arturo Venegas', 'Yolanda Vazquez', 'Mischa Barton', 'Tim McInnerny', 'Gina McKee', 'Emma Chambers']","['Roger Michell', 'Richard Curtis']","['Polygram Filmed Entertainment', 'Working Title Films', 'Bookshop Productions']","['Comedy', 'Drama', 'Romance']","['dating', 'park', 'hotel', 'fake reporter', 'friendship']","['English', 'Spanish']","['United Kingdom', 'United States']",1999-05-21,124,363889678,7.1,295000,['PG-13'],1999,5,21,6.666666666666667,1,13357,0,0,3,431,0,0,7,4,132,4
Green Lantern,1133985,200000000,"['Ryan Reynolds', 'Blake Lively', 'Peter Sarsgaard', 'Mark Strong', 'Tim Robbins', 'Jay O. Sanders', 'Taika Waititi', 'Angela Bassett', 'Mike Doyle', 'Nick Jandl', 'Dylan James', 'Gattlin Griffith', 'Jon Tenney', 'Leanne Cochran', 'Temuera Morrison', 'Jeff Wolfe', 'Lena Clark', 'Jenna Craig']","['Greg Berlanti', 'Marc Guggenheim', 'Michael Green', 'Martin Campbell']","['Warner Bros.', 'De Line Pictures', 'DC Entertainment']","['Action', 'Adventure', 'Sci-Fi']","['comicbook movie', 'ring', 'spacecraft', 'alien', 'magical ring']",['English'],['United States'],2011-06-17,114,219851172,5.5,278000,['PG-13'],2011,6,17,16.333333333333332,1,20285,1,0,3,969,2,1,4,1,153,4
The Butler,1327773,30000000,"['Forest Whitaker', 'Oprah Winfrey', 'John Cusack', 'Jane Fonda', 'David Banner', 'Michael Rainey Jr.', 'LaJessie Smith', 'Mariah Carey', 'Alex Pettyfer', 'Vanessa Redgrave', 'Aml Ameen', 'Clarence Williams III', 'John P. Fertitta', 'Jim Gleason', 'Isaac White', 'David Oyelowo', 'Joe Chrest', 'Colman Domingo']","['Wil Haygood', 'Lee Daniels', 'Danny Strong']","['Follow Through Productions', 'Salamander Pictures', 'Laura Ziskin Productions']","['Biography', 'Drama']","['butler', 'president', 'civil rights', 'domestic servant', 'civil rights movement']",['English'],['United States'],2013-08-16,132,177313795,7.2,113000,['PG-13'],2013,8,16,3.0,0,13670,0,0,3,521,1,1,4,1,0,4
8 Mile,298203,41000000,"['Eminem', 'Brittany Murphy', 'Kim Basinger', 'Mekhi Phifer', 'Evan Jones', 'Omar Benson Miller', ""De'Angelo Wilson"", 'Eugene Byrd', 'Taryn Manning', 'Larry Hudson', 'Proof', 'Mike Bell', 'DJ Head', 'Michael Shannon', 'Chloe Greenfield', 'Mary Hannigan', 'Anthony Mackie', 'Strike']","['Curtis Hanson', 'Scott Silver']","['Imagine Entertainment', 'Mikona Productions GmbH & Co. KG']","['Drama', 'Music']","['self expression', 'competition', 'rap music', 'hip hop', 'hood']",['English'],"['United States', 'Germany']",2002-11-08,110,242875078,7.1,270000,['R'],2002,11,8,3.5,1,12509,0,0,2,409,0,0,4,1,0,1
The Wolf of Wall Street,993846,100000000,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey', 'Kyle Chandler', 'Rob Reiner', 'Jon Bernthal', 'Jon Favreau', 'Jean Dujardin', 'Joanna Lumley', 'Cristin Milioti', 'Christine Ebersole', 'Shea Whigham', 'Katarina Cas', 'P.J. Byrne', 'Kenneth Choi', 'Brian Sacca', 'Henry Zebrowski']","['Martin Scorsese', 'Terence Winter', 'Jordan Belfort']","['Red Granite Pictures', 'Appian Way', 'Sikelia Productions']","['Biography', 'Comedy', 'Crime', 'Drama']","['based on true story', 'stockbroker', 'fellatio', 'female nudity', 'extramarital affair']","['English', 'French']",['United States'],2014-01-11,180,392000694,8.2,1300000,['R'],2014,1,11,5.75,0,26602,0,0,3,502,0,0,4,3,86,1
S.W.A.T.,257076,80000000,"['Samuel L. Jackson', 'Colin Farrell', 'Michelle Rodriguez', 'LL Cool J', 'Josh Charles', 'Jeremy Renner', 'Brian Van Holt', 'Olivier Martinez', 'Reg E. Cathey', 'Larry Poindexter', 'Page Kennedy', 'Domenick Lombardozzi', 'James DuMont', 'Denis Arndt', 'Lindsey Ginter', 'Lucinda Jenney', 'E. Roger Mitchell', 'Jay Acovone']","['Robert Hamner', 'Clark Johnson', 'Ron Mita', 'Jim McClain']","['Columbia Pictures', 'Original Film', 'Camelot Pictures']","['Action', 'Adventure', 'Crime', 'Thriller']","['female police officer', 'swat team', 'police', 'crime boss', 'police sergeant']","['English', 'Spanish', 'French']",['United States'],2003-08-08,117,207725639,6.1,144000,['PG-13'],2003,8,8,13.25,0,21626,2,1,3,796,2,0,4,4,101,4
Ocean&apos;s Thirteen,496806,85000000,"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Michael Mantell', 'Elliott Gould', 'Ray Xifo', 'Al Pacino', 'Adam Lazarre-White', 'Eddie Jemison', 'Don Cheadle', 'Shaobo Qin', 'Casey Affleck', 'Scott Caan', 'Bernie Mac', 'Carl Reiner', 'Eddie Izzard', 'Maggie Rowe', 'Ellen Barkin']","['Brian Koppelman', 'Steven Soderbergh', 'George Clayton Johnson', 'David Levien']","['Warner Bros.', 'Village Roadshow Pictures', 'Jerry Weintraub Productions']","['Crime', 'Thriller']","['revenge', 'casino', 'heist', 'comeuppance', 'hubris']","['English', 'Mandarin', 'Spanish', 'French']",['United States'],2007-06-08,122,311312624,6.9,335000,['PG-13'],2007,6,8,9.0,1,26233,1,0,3,985,3,0,4,10,136,4
A Time to Kill,117913,40000000,"['Matthew McConaughey', 'Sandra Bullock', 'Samuel L. Jackson', 'Kevin Spacey', 'Oliver Platt', 'Charles S. Dutton', 'Brenda Fricker', 'Donald Sutherland', 'Kiefer Sutherland', 'Patrick McGoohan', 'Ashley Judd', 'Tonea Stewart', 'RaéVen Kelly', 'Darrin Mitchell', 'LaConte McGrew', 'Devin Lloyd', 'John Diehl', 'Chris Cooper']","['Akiva Goldsman', 'Joel Schumacher', 'John Grisham']","['New Regency Productions', 'Warner Bros.']","['Crime', 'Drama', 'Thriller']","['vigilante justice', 'vigilantism', 'insanity plea', 'assault rifle', 'mississippi']",['English'],['United States'],1996-07-24,149,152266007,7.5,146000,['R'],1996,7,24,7.0,1,19709,0,0,2,589,1,0,4,1,0,1
Jackass 3D,1116184,20000000,"['Johnny Knoxville', 'Steve-O', 'Bam Margera', 'Ryan Dunn', ""Jason 'Wee Man' Acuña"", 'Preston Lacy', 'Chris Pontius', 'Ehren McGhehey', 'Dave England', 'Loomis Fall', 'Tony Hawk', 'Eric Koston', 'April Margera', 'Phil Margera', 'Spike Jonze', 'Trip Taylor', 'Rick Kosick', 'Dimitry Elyashkevich']","['Johnny Knoxville', 'Bam Margera', 'Jeff Tremaine']","['Dickhouse Productions', 'Film Roman Productions', 'MTV Films']","['Documentary', 'Action', 'Comedy']","['full frontal male nudity', 'hairy chest', 'bare chested male', 'male frontal nudity', 'male rear nudity']",['English'],['United States'],2010-10-15,95,171685792,7.0,60000,['R'],2010,10,15,8.666666666666666,0,2042,0,0,3,395,0,0,4,1,19,1
Crocodile Dundee II,92493,14000000,"['Paul Hogan', 'Linda Kozlowski', 'John Meillon', 'Ernie Dingo', 'Steve Rackman', 'Gerry Skilton', 'Gus Mercurio', 'Jim Holt', 'Alec Wilson', 'Maggie Blinco', 'Bill Sandy', 'Mark Saunders', 'Betty Bobbitt', 'Jim Cooper', 'Sam Cooper', 'Fernando Segura', 'Hechter Ubarry', 'Juan Fernández']","['Paul Hogan', 'Brett Hogan', 'John Cornell']","['Paramount Pictures', 'Rimfire Films']","['Action', 'Adventure', 'Comedy']","['subway', 'cocaine', 'reference to clint eastwood', 'hostage', 'rowboat']","['English', 'Spanish', 'Japanese']",['Australia'],1988-05-20,108,239606210,5.7,56000,['PG'],1988,5,20,15.0,1,0,0,0,2,432,1,0,8,9,102,2
The 40 Year Old Virgin,405422,26000000,"['Steve Carell', 'Catherine Keener', 'Paul Rudd', 'Romany Malco', 'Seth Rogen', 'Elizabeth Banks', 'Leslie Mann', 'Jane Lynch', 'Gerry Bednob', 'Shelley Malil', 'Kat Dennings', 'Jordan Masterson', 'Chelsea Smith', 'Jonah Hill', 'Erica Vittina Phillips', 'Marika Dominczyk', 'Mindy Kaling', 'Mo Collins']","['Steve Carell', 'Judd Apatow']","['Universal Pictures', 'Apatow Productions']","['Comedy', 'Romance']","['fellatio', 'loss of virginity', 'teen sex', '40 year old', 'porn star']","['English', 'Spanish', 'Japanese']",['United States'],2005-08-19,116,177378645,7.1,418000,['R'],2005,8,19,8.5,0,26916,0,0,2,568,1,0,4,9,0,1
Star Trek IV: The Voyage Home,92007,25000000,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan', 'George Takei', 'Walter Koenig', 'Nichelle Nichols', 'Jane Wyatt', 'Catherine Hicks', 'Mark Lenard', 'Robin Curtis', 'Robert Ellenstein', 'John Schuck', 'Brock Peters', 'Michael Snyder', 'Michael Berryman', 'Mike Brislane', 'Grace Lee Whitney']","['Leonard Nimoy', 'Gene Roddenberry', 'Harve Bennett']","['Paramount Pictures', 'Industrial Light & Magic (ILM)']","['Action', 'Adventure', 'Comedy', 'Sci-Fi']","['probe', 'whale', 'alien probe', 'humpback whale', 'time travel']","['English', 'Finnish']",['United States'],1986-11-26,119,109713132,7.3,83000,['PG'],1986,11,26,15.0,1,12459,0,0,2,338,1,0,4,1,160,2
Creed,3076658,35000000,"['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson', 'Phylicia Rashad', 'Andre Ward', 'Tony Bellew', 'Ritchie Coster', ""Jacob 'Stitch' Duran"", 'Graham McTavish', 'Malik Bazille', ""Ricardo 'Padman' McGill"", 'Gabe Rosado', 'Wood Harris', 'Buddy Osborn', 'Rupal Pujara', 'Brian Anthony Wilson', 'Joey Eye', 'Johanna Tolentino']","['Ryan Coogler', 'Aaron Covington', 'Sylvester Stallone']","['Metro-Goldwyn-Mayer (MGM)', 'Warner Bros.', 'New Line Cinema']","['Action', 'Drama', 'Sport']","['gym', 'training', 'fight', 'boxing', 'boxing match']","['English', 'Spanish']",['United States'],2015-11-25,133,173567581,7.6,262000,['PG-13'],2015,11,25,9.0,1,15805,2,1,3,850,1,0,4,4,0,4
Bedtime Stories,960731,80000000,"['Adam Sandler', 'Keri Russell', 'Courteney Cox', 'Guy Pearce', 'Russell Brand', 'Richard Griffiths', 'Teresa Palmer', 'Lucy Lawless', 'Jonathan Morgan Heit', 'Laura Ann Kesling', 'Jonathan Pryce', 'Nick Swardson', 'Kathryn Joosten', 'Allen Covert', 'Carmen Electra', 'Tim Herlihy', 'Thomas Hoffman', 'Abigail Droeger']","['Matt Lopez', 'Adam Shankman', 'Tim Herlihy']","['Walt Disney Pictures', 'Happy Madison Productions', 'Gunn Films']","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance', 'Sci-Fi']","['fairy tale', 'horse', 'hotel manager', 'germaphobia', 'hotel']",['English'],['United States'],2008-12-25,99,212874864,6.0,92000,['PG'],2008,12,25,14.333333333333334,1,25190,0,0,3,795,1,1,4,1,132,2
Trainwreck,3152624,35000000,"['Amy Schumer', 'Bill Hader', 'Brie Larson', 'Colin Quinn', 'Devin Fabry', 'Carla Oudin', 'Josh Segarra', 'Ryan Farrell', 'Robert E. Torres', 'Jim Florentine', 'Robert Kelly', 'Dan Soder', 'John Cena', 'Dave Attell', 'Vanessa Bayer', 'Tilda Swinton', 'Randall Park', 'Jon Glaser']","['Amy Schumer', 'Judd Apatow']","['Universal Pictures', 'Apatow Productions', 'Dentsu']","['Comedy', 'Drama', 'Romance']","['funeral', 'actress playing herself', 'actress shares first name with character', 'written by star', 'male nudity']","['English', 'Mandarin']",['United States'],2015-07-17,125,140795793,6.2,134000,['R'],2015,7,17,6.666666666666667,1,13719,0,0,3,928,2,0,4,10,103,1
Freaky Friday,322330,20000000,"['Jamie Lee Curtis', 'Lindsay Lohan', 'Mark Harmon', 'Harold Gould', 'Chad Michael Murray', 'Stephen Tobolowsky', 'Christina Vidal', 'Ryan Malgarini', 'Haley Hudson', 'Rosalind Chao', 'Lucille Soong', 'Willie Garson', 'Dina Spybey-Waters', 'Julie Gonzalo', 'Christina Marie Walter', 'Lu Elrod', 'Heather Hach', 'Lorna Scott']","['Heather Hach', 'Mary Rodgers', 'Leslie Dixon', 'Mark Waters']","['Casual Friday Productions', 'Gunn Films', 'Walt Disney Pictures']","['Comedy', 'Family', 'Fantasy', 'Music', 'Romance']","['body swap', 'mother daughter relationship', 'teenage angst', 'fiance', 'widow']","['English', 'Mandarin']",['United States'],2003-08-06,97,160846332,6.2,133000,['PG'],2003,8,6,11.4,0,8299,0,0,3,564,1,1,4,10,98,2
Double Jeopardy,150377,70000000,"['Ashley Judd', 'Tommy Lee Jones', 'Bruce Greenwood', 'Benjamin Weir', 'Jay Brazeau', 'John Maclaren', 'Ed Evanko', 'Annabeth Gish', 'Bruce Campbell', 'Brennan Elliott', 'Angela Schneider', 'Michael Gaston', 'Gillian Barber', 'Tom McBeath', 'David Jacox', 'Betsy Brantley', 'Woody Jeffreys', 'French Tickner']","['David Weisberg', 'Douglas Cook', 'Bruce Beresford']","['Paramount Pictures', 'MFP Munich Film Partners GmbH & Company I. Produktions KG', 'Province of British Columbia Production Services Tax Credit']","['Crime', 'Drama', 'Mystery', 'Thriller']","['wrongful arrest', 'wrongful conviction', 'double jeopardy', 'searching for the truth', 'blood']",['English'],"['United States', 'Germany', 'Canada']",1999-09-24,105,177841558,6.5,83000,['R'],1999,9,24,8.25,0,13414,0,0,3,598,1,0,5,1,0,1
